Stock,rmn_se,rmse
RELIANCE.NS,28.6144948903116,9.300628262453715
TCS.NS,78.78509611760941,12.154824379148854
HDFCBANK.NS,31.70117664775386,6.049446435582725
HINDUNILVR.NS,31.568216401690744,10.263912626629276
INFY.NS,36.33443155635334,4.496390355137734
HDFC.NS,46.991160688612936,12.960956297123364
KOTAKBANK.NS,39.38893356073305,8.932629750797199
ICICIBANK.NS,11.2918565238465,2.933917033594153
BAJFINANCE.NS,111.55054766184227,27.8057427061204
BHARTIARTL.NS,8.760441786550789,3.3164126989670204
ASIANPAINT.NS,63.82886385674617,9.993008526079374
ITC.NS,4.255898443932596,1.4724360186958274
HCLTECH.NS,23.66469410294693,3.851819280467738
SBIN.NS,7.300923534658092,2.322242910695547
MARUTI.NS,162.18424387982049,46.89657351638606
WIPRO.NS,12.705162070795582,1.6244352727142153
AXISBANK.NS,13.493513648260926,4.605197764547344
LT.NS,19.87685437612264,7.245343077994405
DMART.NS,92.83091595244451,16.293047608909056
ADANIGREEN.NS,25.565032979166887,5.684218960601512
ULTRACEMCO.NS,163.92110711897283,28.931289672523352
SUNPHARMA.NS,14.630806832107192,4.233560428310928
BAJAJFINSV.NS,214.4422952640172,54.41742550341643
TITAN.NS,31.08171799927329,7.015134734839018
HDFCLIFE.NS,13.59952876190086,4.008257418965912
NTPC.NS,2.2552150866248213,0.7548495036614763
ADANIPORTS.NS,22.36253984486599,3.104124715493936
DABUR.NS,7.609021915780913,2.408127214145902
TECHM.NS,24.15728322406516,4.589911089589636
JSWSTEEL.NS,7.187653132733033,2.2544070156160703
SBILIFE.NS,14.867615310983505,5.430995496848016
PIDILITIND.NS,28.223259135544023,7.421107160392653
M&M.NS,14.287442824030103,4.804523429347836
SHREECEM.NS,518.4367729453409,140.68150995177206
DRREDDY.NS,77.9456076562179,21.674695184648417
BRITANNIA.NS,52.99646524520428,16.690513397512913
IOC.NS,3.412090163023188,1.0922873905599573
COALINDIA.NS,4.401536311667584,1.5320154049830557
BPCL.NS,9.16270805270376,3.4279339528123662
SBICARD.NS,25.476576179927044,8.118031729378597
GODREJCP.NS,16.1120225447337,4.768063064253049
BERGEPAINT.NS,20.59440956202043,2.9387127758343885
TATASTEEL.NS,11.173811867818804,4.236056697153038
ICICIPRULI.NS,8.313283460136498,3.278821628748886
EICHERMOT.NS,51.16704180335489,18.14287411704392
ICICIGI.NS,30.36184329844181,8.800148759961775
INDUSINDBK.NS,44.55656347026289,10.51185933151098
INDIGO.NS,30.47650441525945,11.485420293248842
CIPLA.NS,14.424116702669588,3.994003757915698
BANDHANBNK.NS,18.072046319578288,5.26940774934977
GRASIM.NS,20.74499969495507,6.551341361012667
VEDL.NS,5.149795840480278,1.7503071687396852
DLF.NS,6.877779435464063,1.9712971388340423
HAVELLS.NS,31.81458333219221,5.125858706492215
TATAMOTORS.NS,7.380867435536143,2.6532401921198807
SIEMENS.NS,33.64248696004566,8.76357051222204
BIOCON.NS,9.608216901807822,2.4767292524903404
GAIL.NS,3.0584547322214624,1.0488458064999375
TATACONSUM.NS,14.395952322318797,2.834882614444366
HINDALCO.NS,6.844987150631921,1.7904922017089642
AUROPHARMA.NS,18.295863352063925,6.219609085698504
ADANIENT.NS,37.829298813093125,2.7651897411428124
MOTHERSUMI.NS,5.0978021515469205,1.5117340690086485
MARICO.NS,6.147291685103037,1.9301825274380584
AMBUJACEM.NS,4.569507177926309,1.5982911315572823
CADILAHC.NS,9.786754413534428,3.155050758437528
MUTHOOTFIN.NS,21.93560040875217,6.918290068261809
ADANITRANS.NS,30.39949325661999,3.158224600480322
TORNTPHARM.NS,41.243407149179845,13.901428901197871
YESBANK.NS,7.378562937850241,2.309976308053767
BOSCHLTD.NS,365.4651864628944,127.64251457675316
PETRONET.NS,7.782722175588998,1.6772740989416797
JUBLFOOD.NS,75.56717353669666,13.039104042875971
GODREJPROP.NS,38.25827699298524,8.227719615945128
PGHH.NS,202.75425342188183,51.2319612332658
UPL.NS,13.226873588610008,4.213842906331691
IGL.NS,11.787816195518293,2.795642125172254
NMDC.NS,2.595380337655468,0.937899322283544
ALKEM.NS,65.1577964710646,15.088278228990644
BAJAJHLDNG.NS,72.12542969109722,20.999382825167707
APOLLOHOSP.NS,98.6289080068507,12.973106268326394
WHIRLPOOL.NS,44.58702060560204,14.006618855821564
PIIND.NS,51.08820267179743,10.219554979893903
HINDPETRO.NS,7.572468918063525,2.6908600193263097
HONAUT.NS,1057.3810337233508,207.517105643112
KANSAINER.NS,12.046080833465137,3.505652415972334
IDBI.NS,1.5288676725968764,0.576849661385434
PEL.NS,55.52191247880315,19.21377325732493
MRF.NS,2984.345129821696,443.3785485822383
SRF.NS,167.58681531006033,24.492799353150765
BALKRISIND.NS,59.68498516508665,9.262752210980915
CHOLAFIN.NS,16.471257815192978,2.876265554739281
TATACOMM.NS,30.687808097015715,6.053972640209486
UBL.NS,22.116398918604467,8.314371320988208
PNB.NS,3.3675260384915937,1.1553418245992988
PAGEIND.NS,542.9675175079472,192.75092047973467
SAIL.NS,1.9015410762266487,0.6155476703278846
IDEA.NS,1.7300736503895773,0.4550563450006094
ACC.NS,27.73126466043568,10.338262490765231
PFC.NS,3.3190099502848005,0.9873750486072818
BEL.NS,3.113736373521993,0.9957218146316386
MPHASIS.NS,40.30429170520709,8.006360479986354
BANKBARODA.NS,3.520958537021469,1.2658370059176427
HAL.NS,22.0522096855207,7.943680348050584
ASHOKLEY.NS,3.0859934446918755,0.9640756592380166
IPCALAB.NS,38.4437105959408,10.715649847485723
